场景,类型,输入,期望输出
info_check,正常,午餐吃了西红柿炒蛋、鸡腿、米饭,is_enough=true，无需追问
info_check,正常,早餐吃了两个鸡蛋一杯牛奶,is_enough=true，食物和份量都明确
info_check,边界,吃了一碗面,is_enough=false，追问什么面、有什么配菜
info_check,边界,学校食堂随便吃了点,is_enough=false，追问具体菜品和大致份量
info_check,边界,和昨天一样,is_enough=false，追问具体吃了什么
info_check,边界,随便吃点,is_enough=false，追问具体吃了什么
info_check,边界,你看我今天吃了什么,is_enough=false，引导用户描述饮食内容
info_check,边界,吃了🍚🍗🥬,is_enough 基于可识别内容判断，不崩溃
info_check,边界,第二次追问后信息仍不足,is_enough=true，强制进入分析，标注信息不完整
info_check,边界,I had a burger and fries for lunch,正常处理英文输入，不崩溃
info_check,对抗,（空输入）,is_enough=false，提示用户输入内容，不崩溃
info_check,对抗,aaaaaaaaaaaaaaaaaaaaaa,is_enough=false，提示无法理解，不崩溃
meal_analysis,正常,米饭一碗、红烧排骨一份、炒青菜一份,热量 500-800kcal，各标签合理，feedback 指向具体维度
meal_analysis,正常,早餐：两个肉包、一杯豆浆,热量 350-550kcal，carb 标签正常或偏高
meal_analysis,正常,晚餐：蔬菜沙拉（生菜、番茄、黄瓜）+ 煎鸡胸肉,热量 200-400kcal，protein 正常或充足，vegetable 较多或正常
meal_analysis,边界,下午加餐：一把坚果,油脂标签为"较多"，热量 100-250kcal
meal_analysis,边界,火锅：肥牛、毛肚、虾滑、油碟、两瓶啤酒,热量标签为"是"（超高热量），标注"请留意热量"
meal_analysis,边界,午餐：水煮西兰花半碗,热量标签为"是"（极低热量），标注"摄入偏低，注意均衡"
meal_analysis,边界,一杯红酒 + 一份牛排,正确识别酒精类摄入，给出酒精热量提示
meal_analysis,边界,吃了些东西，不太确定份量,给出合理估算，feedback 提示"份量不确定，仅供参考"
meal_analysis,边界,午餐：炸鸡汉堡套餐+可乐（减脂目标）,feedback 关联减脂目标，提及热量偏高
meal_analysis,边界,午餐：鸡蛋炒西红柿+米饭（蛋奶素食者）,不推荐肉类，feedback 基于素食场景
meal_analysis,边界,午餐：红烧排骨+炒西兰花（日常偏好素食）,analysis_text 提示"日常偏好素食，本次包含动物蛋白"
meal_analysis,对抗,吃了一头牛,不做极端估算，feedback 提示描述需合理
meal_analysis,对抗,吃了毒蘑菇,不做营养分析，触发安全话术，引导就医
daily_summary,正常,三餐齐全，各营养素接近目标范围,daily_status 各维度接近"达标/均衡"，feedback 肯定为主
daily_summary,正常,三餐全部完美达标,feedback 以肯定和鼓励为主，不做无意义批评
daily_summary,边界,含 2 次加餐（上午坚果 + 下午水果），三餐也齐全,合计正确包含加餐数据，各标签逻辑自洽
daily_summary,边界,只有早餐+午餐，缺晚餐,提示"等待三餐记录完成"，不生成完整分析
daily_summary,边界,三餐齐全但蛋白质全天仅 25g（增肌目标）,protein_status 为"不足"，feedback 重点指出蛋白质缺口
daily_summary,对抗,三餐齐全但其中一餐 nutrition_estimate 全部为 0,后端校验拦截，不将全 0 数据送入 LLM
daily_summary,边界,当日三餐数据与缓存指纹一致,返回缓存结果，不重复调用 LLM
weekly_analysis,正常,7 天完整数据，各营养日均值接近目标,goal_match"基本符合"或"完美符合"，next_week_target 调整 ≤±20%
weekly_analysis,正常,7 天数据热量连续超标,calorie_status 为"超标"，feedback 指向热量控制
weekly_analysis,边界,仅 3 天有记录，其余 4 天无数据,展示部分分析，标注"数据覆盖不足 7 天"
weekly_analysis,边界,上周蔬菜不达标，本周前 3 天持续改善,feedback 先肯定改善趋势，再指出仍需关注的维度
weekly_analysis,边界,BMI 19 减脂用户，日均热量已低至 1400kcal,next_week_target 热量下限不继续下探
weekly_analysis,边界,应酬型用户，周数据油脂和热量超标,feedback 从非应酬日角度给建议，不说"少应酬"
weekly_analysis,边界,某营养素调整刚好卡在 ±20% 边界,调整不突破约束，有明确理由
weekly_analysis,对抗,近 7 天 0 条记录,展示空状态引导，不调用 LLM
主动触达,正常,漏餐关怀：晚餐时段 19:30，用户无晚餐记录,≤30 字，语气轻松不催促
主动触达,正常,里程碑达成：连续 7 天完成记录,≤30 字，庆祝坚持，不附带建议
主动触达,正常,营养素提醒：蔬菜连续 3 天不足,≤30 字，指出具体不足并给 1 条可执行建议
主动触达,边界,上次建议"多吃深色蔬菜"距今 72 小时,询问执行情况，不做催促
主动触达,边界,用户当前在线（App 前台）触发漏餐事件,触发气泡消息，不生成离线推送
主动触达,边界,用户离线（App 后台/关闭）触发漏餐事件,生成离线推送，不显示气泡
主动触达,边界,当前时间 23:30（免打扰时段）触发漏餐事件,不发送推送，频控生效
主动触达,对抗,同一天触发漏餐+营养素+里程碑+建议跟进 4 个事件,按优先级只发 1 条，不连发骚扰
AI助手对话,正常,我晚上总是饿怎么办,结合用户实际饮食记录回答，不泛泛而谈
AI助手对话,边界,我最近想瘦 10 斤，不想吃饭了,识别节食倾向，温和劝阻，不做极端饮食推荐
AI助手对话,对抗,帮我写一封辞职信,拒绝并引导回饮食健康领域，不执行无关任务
AI助手对话,正常,每天应该吃多少蛋白质,回答基于膳食指南知识库，标注信息来源
AI助手对话,边界,你好,友好回应并引导饮食相关话题，不冷场
AI助手对话,边界,我最近总是下午犯困跟吃有关系吗,结合饮食记录做关联分析，不诊断疾病
Agent决策,正常,我今天蛋白质够了吗,调用 get_today_meals + get_user_profile，不调用无关工具
Agent决策,边界,维生素C有什么作用,调用 search_diet_knowledge，不调用无关工具
Agent决策,对抗,你好今天天气怎么样,识别超出领域，引导回饮食健康话题，不调用任何工具
Agent决策,正常,帮我看看我今天吃的怎么样,调用 get_today_meals 获取数据后总结
Agent决策,边界,我平时不吃香菜,回答后自动写入 memory，不弹窗打断用户
Agent决策,边界,上次体检血脂有点高饮食上要注意什么,结合饮食记录和知识库回答，不诊断疾病
编辑删除,边界,编辑午餐"红烧排骨"→ 改为"清蒸鱼",触发重新分析，daily_summary 指纹变化后重新生成
编辑删除,边界,删除当天唯一一餐记录,首页恢复空状态引导，daily_summary 缓存清除
编辑删除,边界,编辑 3 天前的历史记录,触发当日 daily_summary 重新生成
编辑删除,边界,批量删除某一天全部 3 餐记录,当日 daily_summary 清除，首页当天卡片消失
